#isbn,subtitle,author,copyright,publisher,genre,score,read,format,own,collection,loan,series,series_vol,comment,price,custom,custom2,custom3,custom4,custom5,custom6,customDate,customSwitch,link,tags,customFloat,customInt,pages,location,lcc,ddc,recordUUID,title
9780575081895,"","Greg Bear",01-01-2008,"Gollancz","",0.000000,,"",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,0,"","","","E036EAE6-73A1-46B5-95BD-007131D310F2","City At the End of Time"
9780340822784,"","David Mitchell",01-01-2004,"Sceptre","Fantasy fiction",0.000000,,"book",1,"","","A Sceptre Paperback",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,529,"London","PR6063.I785","823/.92","6A213656-5CDF-4F7E-84A3-E92B013BA0E5","Cloud Atlas"
9781444730876,"","David Mitchell",01-01-2012,"Sceptre","Fantasy fiction",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-13-2015,0,"","",0.000000,0,529,"London","","823.92","9C70CA02-3686-475D-AEDA-F50E77BB537B","Cloud Atlas"
9780140279511,"How Societies Choose to Fail or Succeed","Jared M. Diamond",01-01-2006,"Penguin Books","Environmental policy",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-13-2015,0,"","",0.000000,0,575,"London","HN13","304.28","F346ADFF-6BAB-4972-BE3E-4868D07E339C","Collapse"
9780521836265,"","William T. Shaw",01-01-2006,"Cambridge University Press","Mathematics / Complex Analysis",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-23-2015,0,"","",0.000000,0,571,"Cambridge","QA76.95","515.90285536","3B2886A3-30AB-499B-8CFF-FCB0AAA0609E","Complex Analysis With Mathematica®"
9780349105710,"","Iain Banks",01-01-1994,"Abacus","Detective and mystery stories",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-13-2015,0,"","",0.000000,0,313,"London","PR6052.A485","823.914","B5622B0E-28E8-4E1C-AD65-ABED9F374E16","Complicity"
9781857231380,"","Iain Banks",01-01-2009,"Orbit","Imaginary wars and battles",0.000000,,"book",1,"","","Culture",1.000000,"",0.000000,"","","","","","",08-13-2015,0,"","",0.000000,0,471,"New York","PR6052.A485","823/.914","52B4AEBF-43D9-4C3F-8D07-F6BDA5067C7A","Consider Phlebas"
9780099469506,"","Carl Sagan",01-01-1997,"Arrow","",0.000000,,"",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,432,"London","","813.54","6967AE5C-7406-4FD5-8AA9-2E07A2A42BDD","Contact."
9780553813579,"","John Meaney",01-01-2003,"Random House","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,573,"","","","3EE27050-EDC0-42DF-B8A9-DD209750933B","Context"
9780375765537,"With Dvd","Geoff Martz; Adam Robinson",01-01-2007,"Random House","Study Aids / GMAT (Graduate Management Admission Test)",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-23-2015,0,"","",0.000000,0,535,"New York","HF1118","650.076","8023C3BA-824D-42B4-96D7-E2CE9D5890FB","Cracking the Gmat"
9780060512804,"","Neal Stephenson",01-01-2002,"HarperCollins","Fiction / Thrillers / General",0.000000,,"book",1,"","","",0.000000,"",14.990000,"","","","","","",08-14-2015,0,"","",0.000000,0,1168,"New York","PS3569.T3868","813.54","496491E9-55E1-43D7-979E-10F9FB308DD6","Cryptonomicon"
9780575084087,"","Ian McDonald",01-01-2009,"Gollancz","",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-22-2015,0,"","",0.000000,0,313,"London","","823.914","5DF4D753-8AA1-4A1E-8CFF-271D2D70E6E7","Cyberabad Days"
9781415200360,"By Bus, Boksie, Matola -- From Cape to Cairo","Sihle Khumalo",01-01-2007,"Umuzi","Travel / Essays & Travelogues",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-14-2015,0,"","",0.000000,0,223,"Roggebaai [South Africa]","DT12.25","916.0433","EBEC53F0-EE3C-4C51-97F7-AB676EC3DB2E","Dark Continent, My Black Arse"
9780349116648,"","Iain Banks",01-01-2003,"Abacus","London (England)",0.000000,,"book",1,"","","",0.000000,"",0.000000,"","","","","","",08-13-2015,0,"","",0.000000,0,436,"London","PR6052.A485","823.914","475B4B31-F850-46F7-AA25-6952B5C6B692","Dead Air"
9780201633610,"Elements of Reusable Object-Oriented Software","Ralph Johnson; Erich Gamma; Richard Helm; John Vlissides",01-01-1995,"Addison-Wesley","Computers / Programming / Object Oriented",0.000000,,"book",1,"","","Addison-Wesley Professional Computing Series",0.000000,"",0.000000,"","","","","","",08-23-2015,0,"","",0.000000,0,395,"Reading, Mass.","QA76.64","005.1/2","C5CAFB48-9BB3-4315-BFB8-DD22564F89E9","Design Patterns"
